nodes,techs,carriers,carrier_in
ESP_1,ESP_1_ESP_2_ac_ohl_transmission,electricity,1.0
ESP_1,ESP_1_PRT_1_ac_ohl_transmission,electricity,1.0
ESP_1,Trade_Markets_ESP_1_coal_transmission,coal,1.0
ESP_1,Trade_Markets_ESP_1_natural_gas_transmission,natural_gas,1.0
ESP_1,battery_CN,electricity,1.0
ESP_1,battery_CZ,electricity,1.0
ESP_1,battery_ESP,electricity,1.0
ESP_1,battery_HU,electricity,1.0
ESP_1,battery_PL,electricity,1.0
ESP_1,battery_US,electricity,1.0
ESP_1,demand_tech,electricity,1.0
ESP_1,existing_ccgt,natural_gas,1.0
ESP_1,existing_chp,natural_gas,1.0
ESP_1,existing_coal,coal,1.0
ESP_1,existing_nuclear,uranium,1.0
ESP_1,existing_oil_and_other,oil,1.0
ESP_1,existing_pumped_hydro,electricity,1.0
ESP_1,pumped_hydro_CN,electricity,1.0
ESP_10,ESP_10_ESP_11_ac_ohl_transmission,electricity,1.0
ESP_10,ESP_8_ESP_10_ac_ohl_transmission,electricity,1.0
ESP_10,ESP_9_ESP_10_ac_ohl_transmission,electricity,1.0
ESP_10,Trade_Markets_ESP_10_natural_gas_transmission,natural_gas,1.0
ESP_10,battery_CN,electricity,1.0
ESP_10,battery_CZ,electricity,1.0
ESP_10,battery_ESP,electricity,1.0
ESP_10,battery_HU,electricity,1.0
ESP_10,battery_PL,electricity,1.0
ESP_10,battery_US,electricity,1.0
ESP_10,demand_tech,electricity,1.0
ESP_10,existing_ccgt,natural_gas,1.0
ESP_10,existing_chp,natural_gas,1.0
ESP_10,existing_coal,coal,1.0
ESP_10,existing_nuclear,uranium,1.0
ESP_10,existing_oil_and_other,oil,1.0
ESP_10,existing_pumped_hydro,electricity,1.0
ESP_10,pumped_hydro_CN,electricity,1.0
ESP_11,ESP_10_ESP_11_ac_ohl_transmission,electricity,1.0
ESP_11,ESP_3_ESP_11_ac_ohl_transmission,electricity,1.0
ESP_11,ESP_5_ESP_11_ac_ohl_transmission,electricity,1.0
ESP_11,ESP_6_ESP_11_ac_ohl_transmission,electricity,1.0
ESP_11,ESP_7_ESP_11_ac_ohl_transmission,electricity,1.0
ESP_11,Trade_Markets_ESP_11_coal_transmission,coal,1.0
ESP_11,Trade_Markets_ESP_11_natural_gas_transmission,natural_gas,1.0
ESP_11,Trade_Markets_ESP_11_oil_fuel_transmission,oil,1.0
ESP_11,Trade_Markets_ESP_11_uranium_transmission,uranium,1.0
ESP_11,battery_CN,electricity,1.0
ESP_11,battery_CZ,electricity,1.0
ESP_11,battery_ESP,electricity,1.0
ESP_11,battery_HU,electricity,1.0
ESP_11,battery_PL,electricity,1.0
ESP_11,battery_US,electricity,1.0
ESP_11,demand_tech,electricity,1.0
ESP_11,existing_ccgt,natural_gas,1.0
ESP_11,existing_chp,natural_gas,1.0
ESP_11,existing_coal,coal,1.0
ESP_11,existing_nuclear,uranium,1.0
ESP_11,existing_oil_and_other,oil,1.0
ESP_11,existing_pumped_hydro,electricity,1.0
ESP_11,pumped_hydro_CN,electricity,1.0
ESP_2,ESP_1_ESP_2_ac_ohl_transmission,electricity,1.0
ESP_2,ESP_2_ESP_3_ac_ohl_transmission,electricity,1.0
ESP_2,ESP_2_ESP_4_ac_ohl_transmission,electricity,1.0
ESP_2,ESP_2_ESP_8_techs_ac_ohl_transmission,electricity,1.0
ESP_2,ESP_2_PRT_1_ac_ohl_transmission,electricity,1.0
ESP_2,ESP_3_ESP_7_ac_ohl_transmission,electricity,1.0
ESP_2,Trade_Markets_ESP_2_coal_transmission,coal,1.0
ESP_2,Trade_Markets_ESP_2_natural_gas_transmission,natural_gas,1.0
ESP_2,Trade_Markets_ESP_2_oil_fuel_transmission,oil,1.0
ESP_2,Trade_Markets_ESP_2_uranium_transmission,uranium,1.0
ESP_2,battery_CN,electricity,1.0
ESP_2,battery_CZ,electricity,1.0
ESP_2,battery_ESP,electricity,1.0
ESP_2,battery_HU,electricity,1.0
ESP_2,battery_PL,electricity,1.0
ESP_2,battery_US,electricity,1.0
ESP_2,demand_tech,electricity,1.0
ESP_2,existing_ccgt,natural_gas,1.0
ESP_2,existing_chp,natural_gas,1.0
ESP_2,existing_coal,coal,1.0
ESP_2,existing_nuclear,uranium,1.0
ESP_2,existing_oil_and_other,oil,1.0
ESP_2,existing_pumped_hydro,electricity,1.0
ESP_2,pumped_hydro_CN,electricity,1.0
ESP_3,ESP_2_ESP_3_ac_ohl_transmission,electricity,1.0
ESP_3,ESP_3_ESP_11_ac_ohl_transmission,electricity,1.0
ESP_3,ESP_3_ESP_4_ac_ohl_transmission,electricity,1.0
ESP_3,ESP_3_ESP_5_ac_ohl_transmission,electricity,1.0
ESP_3,Trade_Markets_ESP_3_natural_gas_transmission,natural_gas,1.0
ESP_3,battery_CN,electricity,1.0
ESP_3,battery_CZ,electricity,1.0
ESP_3,battery_ESP,electricity,1.0
ESP_3,battery_HU,electricity,1.0
ESP_3,battery_PL,electricity,1.0
ESP_3,battery_US,electricity,1.0
ESP_3,demand_tech,electricity,1.0
ESP_3,existing_ccgt,natural_gas,1.0
ESP_3,existing_chp,natural_gas,1.0
ESP_3,existing_coal,coal,1.0
ESP_3,existing_nuclear,uranium,1.0
ESP_3,existing_oil_and_other,oil,1.0
ESP_3,existing_pumped_hydro,electricity,1.0
ESP_3,pumped_hydro_CN,electricity,1.0
ESP_4,ESP_2_ESP_4_ac_ohl_transmission,electricity,1.0
ESP_4,ESP_3_ESP_4_ac_ohl_transmission,electricity,1.0
ESP_4,ESP_3_ESP_7_ac_ohl_transmission,electricity,1.0
ESP_4,ESP_4_ESP_5_techs_ac_ohl_transmission,electricity,1.0
ESP_4,ESP_4_FRA_1_ac_ohl_mountain_transmission,electricity,1.0
ESP_4,ESP_4_FRA_1_dc_subsea_transmission,electricity,1.0
ESP_4,ESP_4_FRA_1_dc_underground_transmission,electricity,1.0
ESP_4,Trade_Markets_ESP_4_natural_gas_transmission,natural_gas,1.0
ESP_4,battery_CN,electricity,1.0
ESP_4,battery_CZ,electricity,1.0
ESP_4,battery_ESP,electricity,1.0
ESP_4,battery_HU,electricity,1.0
ESP_4,battery_PL,electricity,1.0
ESP_4,battery_US,electricity,1.0
ESP_4,demand_tech,electricity,1.0
ESP_4,existing_ccgt,natural_gas,1.0
ESP_4,existing_chp,natural_gas,1.0
ESP_4,existing_coal,coal,1.0
ESP_4,existing_nuclear,uranium,1.0
ESP_4,existing_oil_and_other,oil,1.0
ESP_4,existing_pumped_hydro,electricity,1.0
ESP_4,pumped_hydro_CN,electricity,1.0
ESP_5,ESP_3_ESP_5_ac_ohl_transmission,electricity,1.0
ESP_5,ESP_4_ESP_5_techs_ac_ohl_transmission,electricity,1.0
ESP_5,ESP_5_ESP_11_ac_ohl_transmission,electricity,1.0
ESP_5,ESP_5_ESP_6_techs_ac_ohl_transmission,electricity,1.0
ESP_5,ESP_5_FRA_1_ac_ohl_transmission,electricity,1.0
ESP_5,Trade_Markets_ESP_5_coal_transmission,coal,1.0
ESP_5,Trade_Markets_ESP_5_natural_gas_transmission,natural_gas,1.0
ESP_5,battery_CN,electricity,1.0
ESP_5,battery_CZ,electricity,1.0
ESP_5,battery_ESP,electricity,1.0
ESP_5,battery_HU,electricity,1.0
ESP_5,battery_PL,electricity,1.0
ESP_5,battery_US,electricity,1.0
ESP_5,demand_tech,electricity,1.0
ESP_5,existing_ccgt,natural_gas,1.0
ESP_5,existing_chp,natural_gas,1.0
ESP_5,existing_coal,coal,1.0
ESP_5,existing_nuclear,uranium,1.0
ESP_5,existing_oil_and_other,oil,1.0
ESP_5,existing_pumped_hydro,electricity,1.0
ESP_5,pumped_hydro_CN,electricity,1.0
ESP_6,ESP_5_ESP_6_techs_ac_ohl_transmission,electricity,1.0
ESP_6,ESP_6_ESP_11_ac_ohl_transmission,electricity,1.0
ESP_6,ESP_6_FRA_2_ac_ohl_mountain_transmission,electricity,1.0
ESP_6,ESP_6_FRA_2_dc_underground_transmission,electricity,1.0
ESP_6,ESP_6_FRA_3_dc_subsea_transmission,electricity,1.0
ESP_6,ESP_9_MA_dc_subsea_transmission,electricity,1.0
ESP_6,Trade_Markets_ESP_6_natural_gas_transmission,natural_gas,1.0
ESP_6,Trade_Markets_ESP_6_oil_fuel_transmission,oil,1.0
ESP_6,Trade_Markets_ESP_6_uranium_transmission,uranium,1.0
ESP_6,battery_CN,electricity,1.0
ESP_6,battery_CZ,electricity,1.0
ESP_6,battery_ESP,electricity,1.0
ESP_6,battery_HU,electricity,1.0
ESP_6,battery_PL,electricity,1.0
ESP_6,battery_US,electricity,1.0
ESP_6,demand_tech,electricity,1.0
ESP_6,existing_ccgt,natural_gas,1.0
ESP_6,existing_chp,natural_gas,1.0
ESP_6,existing_coal,coal,1.0
ESP_6,existing_nuclear,uranium,1.0
ESP_6,existing_oil_and_other,oil,1.0
ESP_6,existing_pumped_hydro,electricity,1.0
ESP_6,pumped_hydro_CN,electricity,1.0
ESP_7,ESP_7_ESP_11_ac_ohl_transmission,electricity,1.0
ESP_7,ESP_7_ESP_8_ac_ohl_transmission,electricity,1.0
ESP_7,Trade_Markets_ESP_7_coal_transmission,coal,1.0
ESP_7,Trade_Markets_ESP_7_natural_gas_transmission,natural_gas,1.0
ESP_7,Trade_Markets_ESP_7_uranium_transmission,uranium,1.0
ESP_7,battery_CN,electricity,1.0
ESP_7,battery_CZ,electricity,1.0
ESP_7,battery_ESP,electricity,1.0
ESP_7,battery_HU,electricity,1.0
ESP_7,battery_PL,electricity,1.0
ESP_7,battery_US,electricity,1.0
ESP_7,demand_tech,electricity,1.0
ESP_7,existing_ccgt,natural_gas,1.0
ESP_7,existing_chp,natural_gas,1.0
ESP_7,existing_coal,coal,1.0
ESP_7,existing_nuclear,uranium,1.0
ESP_7,existing_oil_and_other,oil,1.0
ESP_7,existing_pumped_hydro,electricity,1.0
ESP_7,pumped_hydro_CN,electricity,1.0
ESP_8,ESP_2_ESP_8_techs_ac_ohl_transmission,electricity,1.0
ESP_8,ESP_7_ESP_8_ac_ohl_transmission,electricity,1.0
ESP_8,ESP_8_ESP_10_ac_ohl_transmission,electricity,1.0
ESP_8,ESP_8_ESP_9_ac_ohl_transmission,electricity,1.0
ESP_8,ESP_8_PRT_2_ac_ohl_transmission,electricity,1.0
ESP_8,Trade_Markets_ESP_8_uranium_transmission,uranium,1.0
ESP_8,battery_CN,electricity,1.0
ESP_8,battery_CZ,electricity,1.0
ESP_8,battery_ESP,electricity,1.0
ESP_8,battery_HU,electricity,1.0
ESP_8,battery_PL,electricity,1.0
ESP_8,battery_US,electricity,1.0
ESP_8,demand_tech,electricity,1.0
ESP_8,existing_ccgt,natural_gas,1.0
ESP_8,existing_chp,natural_gas,1.0
ESP_8,existing_coal,coal,1.0
ESP_8,existing_nuclear,uranium,1.0
ESP_8,existing_oil_and_other,oil,1.0
ESP_8,existing_pumped_hydro,electricity,1.0
ESP_8,pumped_hydro_CN,electricity,1.0
ESP_9,ESP_8_ESP_9_ac_ohl_transmission,electricity,1.0
ESP_9,ESP_9_ESP_10_ac_ohl_transmission,electricity,1.0
ESP_9,ESP_9_PRT_2_ac_ohl_transmission,electricity,1.0
ESP_9,Trade_Markets_ESP_9_coal_transmission,coal,1.0
ESP_9,Trade_Markets_ESP_9_natural_gas_transmission,natural_gas,1.0
ESP_9,battery_CN,electricity,1.0
ESP_9,battery_CZ,electricity,1.0
ESP_9,battery_ESP,electricity,1.0
ESP_9,battery_HU,electricity,1.0
ESP_9,battery_PL,electricity,1.0
ESP_9,battery_US,electricity,1.0
ESP_9,demand_tech,electricity,1.0
ESP_9,existing_ccgt,natural_gas,1.0
ESP_9,existing_chp,natural_gas,1.0
ESP_9,existing_coal,coal,1.0
ESP_9,existing_nuclear,uranium,1.0
ESP_9,existing_oil_and_other,oil,1.0
ESP_9,existing_pumped_hydro,electricity,1.0
ESP_9,pumped_hydro_CN,electricity,1.0
FRA_1,ESP_4_FRA_1_ac_ohl_mountain_transmission,electricity,1.0
FRA_1,ESP_4_FRA_1_dc_subsea_transmission,electricity,1.0
FRA_1,ESP_4_FRA_1_dc_underground_transmission,electricity,1.0
FRA_1,ESP_5_FRA_1_ac_ohl_transmission,electricity,1.0
FRA_2,ESP_6_FRA_2_ac_ohl_mountain_transmission,electricity,1.0
FRA_2,ESP_6_FRA_2_dc_underground_transmission,electricity,1.0
PRT_1,ESP_1_PRT_1_ac_ohl_transmission,electricity,1.0
PRT_1,ESP_2_PRT_1_ac_ohl_transmission,electricity,1.0
PRT_1,PRT_1_PRT_2_ac_ohl_transmission,electricity,1.0
PRT_2,ESP_8_PRT_2_ac_ohl_transmission,electricity,1.0
PRT_2,ESP_9_PRT_2_ac_ohl_transmission,electricity,1.0
PRT_2,PRT_1_PRT_2_ac_ohl_transmission,electricity,1.0
Trade_Markets,Trade_Markets_ESP_10_natural_gas_transmission,natural_gas,1.0
Trade_Markets,Trade_Markets_ESP_11_coal_transmission,coal,1.0
Trade_Markets,Trade_Markets_ESP_11_natural_gas_transmission,natural_gas,1.0
Trade_Markets,Trade_Markets_ESP_11_oil_fuel_transmission,oil,1.0
Trade_Markets,Trade_Markets_ESP_11_uranium_transmission,uranium,1.0
Trade_Markets,Trade_Markets_ESP_1_coal_transmission,coal,1.0
Trade_Markets,Trade_Markets_ESP_1_natural_gas_transmission,natural_gas,1.0
Trade_Markets,Trade_Markets_ESP_2_coal_transmission,coal,1.0
Trade_Markets,Trade_Markets_ESP_2_natural_gas_transmission,natural_gas,1.0
Trade_Markets,Trade_Markets_ESP_2_oil_fuel_transmission,oil,1.0
Trade_Markets,Trade_Markets_ESP_2_uranium_transmission,uranium,1.0
Trade_Markets,Trade_Markets_ESP_3_natural_gas_transmission,natural_gas,1.0
Trade_Markets,Trade_Markets_ESP_4_natural_gas_transmission,natural_gas,1.0
Trade_Markets,Trade_Markets_ESP_5_coal_transmission,coal,1.0
Trade_Markets,Trade_Markets_ESP_5_natural_gas_transmission,natural_gas,1.0
Trade_Markets,Trade_Markets_ESP_6_natural_gas_transmission,natural_gas,1.0
Trade_Markets,Trade_Markets_ESP_6_oil_fuel_transmission,oil,1.0
Trade_Markets,Trade_Markets_ESP_6_uranium_transmission,uranium,1.0
Trade_Markets,Trade_Markets_ESP_7_coal_transmission,coal,1.0
Trade_Markets,Trade_Markets_ESP_7_natural_gas_transmission,natural_gas,1.0
Trade_Markets,Trade_Markets_ESP_7_uranium_transmission,uranium,1.0
Trade_Markets,Trade_Markets_ESP_8_uranium_transmission,uranium,1.0
Trade_Markets,Trade_Markets_ESP_9_coal_transmission,coal,1.0
Trade_Markets,Trade_Markets_ESP_9_natural_gas_transmission,natural_gas,1.0
