techs,costs,cost_flow_cap
ESP_10_ESP_11_ac_ohl_transmission,monetary,175000.0
ESP_1_ESP_2_ac_ohl_transmission,monetary,175000.0
ESP_1_PRT_1_ac_ohl_transmission,monetary,175000.0
ESP_2_ESP_3_ac_ohl_transmission,monetary,175000.0
ESP_2_ESP_4_ac_ohl_transmission,monetary,175000.0
ESP_2_ESP_8_techs_ac_ohl_transmission,monetary,175000.0
ESP_2_PRT_1_ac_ohl_transmission,monetary,175000.0
ESP_3_ESP_11_ac_ohl_transmission,monetary,175000.0
ESP_3_ESP_4_ac_ohl_transmission,monetary,175000.0
ESP_3_ESP_5_ac_ohl_transmission,monetary,175000.0
ESP_3_ESP_7_ac_ohl_transmission,monetary,175000.0
ESP_4_ESP_5_techs_ac_ohl_transmission,monetary,175000.0
ESP_4_FRA_1_ac_ohl_mountain_transmission,monetary,516000.0
ESP_4_FRA_1_dc_subsea_transmission,monetary,942000.0
ESP_4_FRA_1_dc_underground_transmission,monetary,755000.0
ESP_5_ESP_11_ac_ohl_transmission,monetary,175000.0
ESP_5_ESP_6_techs_ac_ohl_transmission,monetary,175000.0
ESP_5_FRA_1_ac_ohl_transmission,monetary,175000.0
ESP_6_ESP_11_ac_ohl_transmission,monetary,175000.0
ESP_6_FRA_2_ac_ohl_mountain_transmission,monetary,516000.0
ESP_6_FRA_2_dc_underground_transmission,monetary,755000.0
ESP_6_FRA_3_dc_subsea_transmission,monetary,942000.0
ESP_7_ESP_11_ac_ohl_transmission,monetary,175000.0
ESP_7_ESP_8_ac_ohl_transmission,monetary,175000.0
ESP_8_ESP_10_ac_ohl_transmission,monetary,175000.0
ESP_8_ESP_9_ac_ohl_transmission,monetary,175000.0
ESP_8_PRT_2_ac_ohl_transmission,monetary,175000.0
ESP_9_ESP_10_ac_ohl_transmission,monetary,175000.0
ESP_9_MA_dc_subsea_transmission,monetary,942000.0
ESP_9_PRT_2_ac_ohl_transmission,monetary,175000.0
PRT_1_PRT_2_ac_ohl_transmission,monetary,175000.0
Trade_Markets_ESP_10_natural_gas_transmission,monetary,0.0
Trade_Markets_ESP_11_natural_gas_transmission,monetary,0.0
Trade_Markets_ESP_11_oil_fuel_transmission,monetary,0.0
Trade_Markets_ESP_1_natural_gas_transmission,monetary,0.0
Trade_Markets_ESP_2_natural_gas_transmission,monetary,0.0
Trade_Markets_ESP_2_oil_fuel_transmission,monetary,0.0
Trade_Markets_ESP_3_natural_gas_transmission,monetary,0.0
Trade_Markets_ESP_4_natural_gas_transmission,monetary,0.0
Trade_Markets_ESP_5_natural_gas_transmission,monetary,0.0
Trade_Markets_ESP_6_natural_gas_transmission,monetary,0.0
Trade_Markets_ESP_6_oil_fuel_transmission,monetary,0.0
Trade_Markets_ESP_7_natural_gas_transmission,monetary,0.0
Trade_Markets_ESP_9_natural_gas_transmission,monetary,0.0
battery_CN,co2,38889.0
battery_CN,monetary,14708.0
battery_CN,vul,0.53
battery_CZ,co2,45652.0
battery_CZ,monetary,17265.0
battery_CZ,vul,0.1
battery_ESP,co2,5779.0
battery_ESP,monetary,50886.0
battery_ESP,vul,0.03
battery_HU,co2,50772.0
battery_HU,monetary,19201.0
battery_HU,vul,0.07
battery_PL,co2,46430.0
battery_PL,monetary,17559.0
battery_PL,vul,0.06
battery_US,co2,41272.0
battery_US,monetary,15608.0
battery_US,vul,0.08
biogas_to_electricity_supply_BEL,co2,253458.0
biogas_to_electricity_supply_BEL,monetary,95855.0
biogas_to_electricity_supply_BEL,vul,0.5
biogas_to_electricity_supply_CAN,co2,6462942.0
biogas_to_electricity_supply_CAN,monetary,2444216.0
biogas_to_electricity_supply_CAN,vul,0.5
biogas_to_electricity_supply_FR,co2,7499390.0
biogas_to_electricity_supply_FR,monetary,2836190.0
biogas_to_electricity_supply_FR,vul,0.5
biogas_to_electricity_supply_FSM,co2,3752886.0
biogas_to_electricity_supply_FSM,monetary,1419302.0
biogas_to_electricity_supply_FSM,vul,0.5
biogas_to_electricity_supply_UK,co2,5226915.0
biogas_to_electricity_supply_UK,monetary,1976764.0
biogas_to_electricity_supply_UK,vul,0.5
biogas_to_electricity_supply_USA,co2,3752886.0
biogas_to_electricity_supply_USA,monetary,1463007.0
biogas_to_electricity_supply_USA,vul,0.5
biomass_ESP,co2,86.0
biomass_ESP,monetary,2844.0
biomass_ESP,vul,0.5
biomass_FR,co2,388.0
biomass_FR,monetary,147.0
biomass_FR,vul,0.5
biomass_IT,co2,11739.0
biomass_IT,monetary,4440.0
biomass_IT,vul,0.5
coal_AUS,co2,0.0
coal_AUS,monetary,0.0
coal_AUS,vul,0.0
coal_COL,co2,0.0
coal_COL,monetary,0.0
coal_COL,vul,0.0
coal_ITA,co2,0.0
coal_ITA,monetary,0.0
coal_ITA,vul,0.0
coal_RUS,co2,0.0
coal_RUS,monetary,0.0
coal_RUS,vul,0.0
coal_USA,co2,0.0
coal_USA,monetary,0.0
coal_USA,vul,0.0
existing_biogas_to_electricity_supply,monetary,0.0
existing_biomass,monetary,0.0
existing_ccgt,monetary,0.0
existing_chp,monetary,0.0
existing_coal,monetary,0.0
existing_hydro_run_of_river,monetary,0.0
existing_nuclear,monetary,0.0
existing_oil_and_other,monetary,0.0
existing_open_field_pv,monetary,0.0
existing_pumped_hydro,monetary,0.0
existing_rooftop_pv,monetary,0.0
existing_wind_onshore,monetary,0.0
existing_wte,monetary,0.0
natural_gas_DEU,co2,0.0
natural_gas_DEU,monetary,0.0
natural_gas_DEU,vul,0.0
natural_gas_DNK,co2,0.0
natural_gas_DNK,monetary,0.0
natural_gas_DNK,vul,0.0
natural_gas_DZA,co2,0.0
natural_gas_DZA,monetary,0.0
natural_gas_DZA,vul,0.0
natural_gas_NOR,co2,0.0
natural_gas_NOR,monetary,0.0
natural_gas_NOR,vul,0.0
natural_gas_PT,co2,0.0
natural_gas_PT,monetary,0.0
natural_gas_PT,vul,0.0
natural_gas_liquid_DZA,co2,0.0
natural_gas_liquid_DZA,monetary,0.0
natural_gas_liquid_DZA,vul,0.0
natural_gas_liquid_NGA,co2,0.0
natural_gas_liquid_NGA,monetary,0.0
natural_gas_liquid_NGA,vul,0.0
natural_gas_liquid_QAT,co2,0.0
natural_gas_liquid_QAT,monetary,0.0
natural_gas_liquid_QAT,vul,0.0
natural_gas_liquid_RUS,co2,0.0
natural_gas_liquid_RUS,monetary,0.0
natural_gas_liquid_RUS,vul,0.0
natural_gas_liquid_USA,co2,0.0
natural_gas_liquid_USA,monetary,0.0
natural_gas_liquid_USA,vul,0.0
oil_LBY,co2,0.0
oil_LBY,monetary,0.0
oil_LBY,vul,0.0
oil_MEX,co2,0.0
oil_MEX,monetary,0.0
oil_MEX,vul,0.0
oil_NGA,co2,0.0
oil_NGA,monetary,0.0
oil_NGA,vul,0.0
oil_SA,co2,0.0
oil_SA,monetary,0.0
oil_SA,vul,0.0
oil_USA,co2,0.0
oil_USA,monetary,0.0
oil_USA,vul,0.0
open_field_pv_CN,co2,155481.0
open_field_pv_CN,monetary,58801.0
open_field_pv_CN,vul,0.4
open_field_pv_DE,co2,204915.0
open_field_pv_DE,monetary,77489.0
open_field_pv_DE,vul,0.05
open_field_pv_ESP,co2,263720.0
open_field_pv_ESP,monetary,687476.0
open_field_pv_ESP,vul,0.16
open_field_pv_MY,co2,229190.0
open_field_pv_MY,monetary,86668.0
open_field_pv_MY,vul,0.12
open_field_pv_NL,co2,184035.0
open_field_pv_NL,monetary,69593.0
open_field_pv_NL,vul,0.03
open_field_pv_PT,co2,311275.0
open_field_pv_PT,monetary,117709.0
open_field_pv_PT,vul,0.03
pumped_hydro_CN,co2,13808.0
pumped_hydro_CN,monetary,5222.0
pumped_hydro_CN,vulnerability,0.5
pumped_hydro_ESP,co2,4180.0
pumped_hydro_ESP,monetary,139025.0
pumped_hydro_ESP,vul,0.5
roof_mounted_pv_CN,co2,155497.0
roof_mounted_pv_CN,monetary,58801.0
roof_mounted_pv_CN,vul,0.4
roof_mounted_pv_DE,co2,204915.0
roof_mounted_pv_DE,monetary,77489.0
roof_mounted_pv_DE,vul,0.05
roof_mounted_pv_ESP,co2,263720.0
roof_mounted_pv_ESP,monetary,687476.0
roof_mounted_pv_ESP,vul,0.16
roof_mounted_pv_MY,co2,229190.0
roof_mounted_pv_MY,monetary,86668.0
roof_mounted_pv_MY,vul,0.12
roof_mounted_pv_NL,co2,184035.0
roof_mounted_pv_NL,monetary,69593.0
roof_mounted_pv_NL,vul,0.03
roof_mounted_pv_PT,co2,311275.0
roof_mounted_pv_PT,monetary,117709.0
roof_mounted_pv_PT,vul,0.03
uranium_UK,co2,0.0
uranium_UK,monetary,0.0
uranium_UK,vul,0.0
uranium_USA,co2,0.0
uranium_USA,monetary,0.0
uranium_USA,vul,0.0
wind_offshore_CN,co2,131655.0
wind_offshore_CN,monetary,49790.0
wind_offshore_CN,vul,0.19
wind_offshore_DE,co2,45843.0
wind_offshore_DE,monetary,17337.0
wind_offshore_DE,vul,0.15
wind_offshore_ESP,co2,7043261.0
wind_offshore_ESP,monetary,62013826.0
wind_offshore_ESP,vul,0.16
wind_offshore_FR,co2,34697.0
wind_offshore_FR,monetary,13122.0
wind_offshore_FR,vul,0.02
wind_offshore_IND,co2,133358.0
wind_offshore_IND,monetary,50435.0
wind_offshore_IND,vul,0.15
wind_offshore_NDL,co2,17843.0
wind_offshore_NDL,monetary,6748.0
wind_offshore_NDL,vul,0.02
wind_offshore_PT,co2,31480.0
wind_offshore_PT,monetary,11905.0
wind_offshore_PT,vul,0.07
wind_onshore_competing_CN,co2,131655.0
wind_onshore_competing_CN,monetary,49790.0
wind_onshore_competing_CN,vul,0.19
wind_onshore_competing_DE,co2,45843.0
wind_onshore_competing_DE,monetary,17337.0
wind_onshore_competing_DE,vul,0.15
wind_onshore_competing_ESP,co2,7043261.0
wind_onshore_competing_ESP,monetary,62013826.0
wind_onshore_competing_ESP,vul,0.16
wind_onshore_competing_FR,co2,34697.0
wind_onshore_competing_FR,monetary,13122.0
wind_onshore_competing_FR,vul,0.02
wind_onshore_competing_IND,co2,133358.0
wind_onshore_competing_IND,monetary,50435.0
wind_onshore_competing_IND,vul,0.15
wind_onshore_competing_NDL,co2,17843.0
wind_onshore_competing_NDL,monetary,6748.0
wind_onshore_competing_NDL,vul,0.02
wind_onshore_competing_PT,co2,31480.0
wind_onshore_competing_PT,monetary,11905.0
wind_onshore_competing_PT,vul,0.07
wind_onshore_monopoly_CN,co2,131655.0
wind_onshore_monopoly_CN,monetary,49790.0
wind_onshore_monopoly_CN,vul,0.19
wind_onshore_monopoly_DE,co2,45843.0
wind_onshore_monopoly_DE,monetary,17337.0
wind_onshore_monopoly_DE,vul,0.15
wind_onshore_monopoly_ESP,co2,17843.0
wind_onshore_monopoly_ESP,monetary,6748.0
wind_onshore_monopoly_ESP,vul,0.16
wind_onshore_monopoly_FR,co2,34697.0
wind_onshore_monopoly_FR,monetary,13122.0
wind_onshore_monopoly_FR,vul,0.02
wind_onshore_monopoly_IND,co2,133358.0
wind_onshore_monopoly_IND,monetary,50435.0
wind_onshore_monopoly_IND,vul,0.15
wind_onshore_monopoly_NDL,co2,95055.3
wind_onshore_monopoly_NDL,monetary,181182.0
wind_onshore_monopoly_NDL,vul,0.02
wind_onshore_monopoly_PT,co2,31480.0
wind_onshore_monopoly_PT,monetary,11905.0
wind_onshore_monopoly_PT,vul,0.07
